n,n_capped,pct_capped,n_structure_mode,pct_structure_mode,median_abs,max,min,note,symbol
231,0,0.0,67,29.004329004329005,5e-05,0.00095371,-0.00107149,capped rows must not enter OLS / extreme quantile training as true pressure,SPCXUSDT
3573,0,0.0,1128,31.57010915197313,9.581e-05,0.00136507,-0.00286299,capped rows must not enter OLS / extreme quantile training as true pressure,SUIUSDT
6058,0,0.0,2455,40.52492571805876,5e-05,0.00100553,-0.00241487,capped rows must not enter OLS / extreme quantile training as true pressure,TIAUSDT
3389,0,0.0,1036,30.56948952493361,5e-05,0.00265219,-0.00683466,capped rows must not enter OLS / extreme quantile training as true pressure,TRUMPUSDT
5036,1,0.019857029388403495,1653,32.82366957903098,0.0001,0.00090132,-0.004875,capped rows must not enter OLS / extreme quantile training as true pressure,TRXUSDT
582,2,0.3436426116838488,5,0.859106529209622,0.0,0.00501386,-0.00894634,capped rows must not enter OLS / extreme quantile training as true pressure,TSLAUSDT
1968,1,0.05081300813008131,1342,68.1910569105691,5e-05,0.00396507,-0.00075696,capped rows must not enter OLS / extreme quantile training as true pressure,UBUSDT
5036,0,0.0,2560,50.833995234312944,0.0001,0.00119001,-0.00042157,capped rows must not enter OLS / extreme quantile training as true pressure,UNIUSDT
3623,0,0.0,1253,34.58459839911676,5e-05,0.00108112,-0.00156143,capped rows must not enter OLS / extreme quantile training as true pressure,VIRTUALUSDT
3325,3,0.09022556390977443,1526,45.89473684210526,5e-05,0.00110283,-0.01266612,capped rows must not enter OLS / extreme quantile training as true pressure,VVVUSDT
5585,0,0.0,2830,50.671441360787824,5e-05,0.00395284,-0.00635609,capped rows must not enter OLS / extreme quantile training as true pressure,WIFUSDT
3327,0,0.0,1335,40.126239855725885,0.0001,0.00137251,-0.00145228,capped rows must not enter OLS / extreme quantile training as true pressure,WLDUSDT
2088,0,0.0,1271,60.871647509578544,5e-05,0.00041289,-0.00223573,capped rows must not enter OLS / extreme quantile training as true pressure,WLFIUSDT
1267,4,0.31570639305445936,45,3.5516969218626673,2.584e-05,0.005,-0.00398629,capped rows must not enter OLS / extreme quantile training as true pressure,XAGUSDT
1429,1,0.06997900629811056,153,10.706787963610918,2.223e-05,0.005,-0.00335043,capped rows must not enter OLS / extreme quantile training as true pressure,XAUUSDT
5036,0,0.0,1986,39.43606036536934,0.0001,0.00122655,-0.00129128,capped rows must not enter OLS / extreme quantile training as true pressure,XLMUSDT
5036,1,0.019857029388403495,2793,55.460683081810956,0.0001,0.00420096,-0.00652497,capped rows must not enter OLS / extreme quantile training as true pressure,XMRUSDT
2094,0,0.0,1341,64.04011461318052,5e-05,0.00045058,-0.00019295,capped rows must not enter OLS / extreme quantile training as true pressure,XPLUSDT
5036,0,0.0,1878,37.29150119142176,9.871000000000001e-05,0.0011,-0.00139438,capped rows must not enter OLS / extreme quantile training as true pressure,XRPUSDT
